filename,label,data_source,original_fps,original_frame_count,original_duration_sec,start_frame,end_frame,processed_frame_count,processed_duration_sec,preprocess_version,face_width,shoulders_width,face_midpoint_to_shoulders_height,left_hand_interpolated_none_frames,right_hand_interpolated_none_frames
ajudar_ne_1.mp4,,app,12.0,44,3.6666666666666665,7,36,30,2.5,v0,0.1475760764186262,0.3334213753297522,0.2927764145887005,7,6
casa_vl_4.mp4,,app,29.97002997002997,196,6.539866666666667,21,175,155,5.171833333333334,v0,0.1063001731505041,0.2329747485141005,0.2480115677738218,0,0
comer_uf_3.mp4,,app,29.97002997002997,108,3.6036,13,68,56,1.8685333333333327,v0,0.0861868723043936,0.2014387860190091,0.2239826291203747,0,0
cabeça_sb_2.mp4,,app,29.97002997002997,88,2.9362666666666666,14,78,65,2.168833333333333,v0,0.0850248008138618,0.1989803990503861,0.2112646567645912,0,0
ajudar_sb_2.mp4,,app,29.97002997002997,79,2.6359666666666666,6,66,61,2.0353666666666665,v0,0.086359447296668,0.2062000513838832,0.2168209587277756,0,0
ajudar_uf_3.mp4,,app,29.97002997002997,115,3.8371666666666666,24,89,66,2.2022,v0,0.0906044992120838,0.2058896325355047,0.2222931250932706,0,0
ajudar_vl_4.mp4,,app,29.97002997002997,141,4.7047,11,126,116,3.870533333333333,v0,0.1002359354715027,0.2102149225311914,0.2401692811507174,25,9
ajudar_vl_5.mp4,,app,29.97,108,3.603603603603604,0,106,107,3.570236903570237,v0,0.1148390137038445,0.2434789111745102,0.2467691712648092,13,12
ajudar_vl_6.mp4,,app,60.0,310,5.166666666666667,0,271,272,4.533333333333333,v0,0.1168790114984596,0.2652711289886881,0.2421232571784953,0,0
animal_ne_1.mp4,,app,12.0,71,5.916666666666667,12,51,40,3.333333333333333,v0,0.1461692948368983,0.332822175889123,0.285442417041045,22,8
animal_sb_2.mp4,,app,29.97002997002997,74,2.469133333333333,3,68,66,2.2022,v0,0.0855990775209428,0.2039747614220384,0.2163448085181292,2,0
animal_uf_3.mp4,,app,29.97002997002997,127,4.237566666666667,30,110,81,2.7027,v0,0.0835870034510989,0.1965750776569162,0.2196615684781511,0,0
animal_vl_4.mp4,,app,23.976023976023978,116,4.838166666666666,0,96,97,4.045708333333333,v0,0.1109496616410652,0.2475540276072025,0.2641883834215604,3,8
animal_vl_5.mp4,,app,29.97002997002997,145,4.838166666666667,2,138,137,4.571233333333334,v0,0.1217538975755743,0.252045926050322,0.2719620575151522,0,47
animal_vl_6.mp4,,app,29.97002997002997,181,6.039366666666667,5,179,175,5.839166666666666,v0,0.1048001981373126,0.2340356746844013,0.2531212384154883,6,4
aniversário_ne_1.mp4,,app,12.0,74,6.166666666666667,11,44,34,2.833333333333333,v0,0.1464765033842475,0.3291744107649744,0.2859351864110474,8,7
aniversário_sb_2.mp4,,app,29.97002997002997,67,2.2355666666666667,3,57,55,1.8351666666666664,v0,0.0852588408669247,0.2031614804150538,0.2156624304155224,1,0
aniversário_uf_3.mp4,,app,29.97002997002997,120,4.004,29,98,70,2.3356666666666666,v0,0.0818816587191422,0.1999938105634204,0.2149878084241028,0,1
aniversário_vl_4.mp4,,app,60.0,263,4.383333333333334,27,247,221,3.683333333333333,v0,0.1187529721010472,0.2608941758533771,0.2361539673669727,0,0
aniversário_vl_5.mp4,,app,29.97002997002997,152,5.071733333333333,4,104,101,3.370033333333333,v0,0.0923649889186782,0.1966172620403812,0.2044087772868612,0,0
aniversário_vl_6.mp4,,app,59.94005994005994,269,4.487816666666666,0,265,266,4.437766666666667,v0,0.1262434029222055,0.2770740490705226,0.2910035505527366,4,3
ano_ne_1.mp4,,app,12.0,58,4.833333333333333,11,52,42,3.5,v0,0.1455478561037937,0.3311144769491881,0.2877440918182798,14,11
ano_sb_2.mp4,,app,29.97002997002997,70,2.3356666666666666,0,66,67,2.2355666666666667,v0,0.0853479865298405,0.2062652783431277,0.2177551569695328,3,3
ano_uf_3.mp4,,app,29.97002997002997,108,3.6036,18,81,64,2.135466666666667,v0,0.0866483538727324,0.2041134514942047,0.2300223003030257,2,0
ano_vl_4.mp4,,app,29.97002997002997,168,5.6056,8,139,132,4.4044,v0,0.1000708784487575,0.2102318185505688,0.2343785681498408,12,5
ano_vl_5.mp4,,app,29.97002997002997,191,6.373033333333334,3,179,177,5.9059,v0,0.1235689353260567,0.2536070917065121,0.2721690922791336,30,29
ano_vl_6.mp4,,app,60.0,428,7.133333333333334,64,374,311,5.183333333333334,v0,0.1168074129742997,0.2632693326270607,0.2396165632261801,8,6
banana_ne_1.mp4,,app,12.0,51,4.25,7,37,31,2.583333333333333,v0,0.1462534183794505,0.3357041260819115,0.2892091075252154,9,10
banana_sb_2.mp4,,app,29.97002997002997,71,2.3690333333333333,3,66,64,2.135466666666667,v0,0.0854603503835095,0.2040350779268152,0.2108546205937617,0,1
banana_uf_3.mp4,,app,29.97002997002997,246,8.2082,12,209,198,6.6066,v0,0.076263391489957,0.1744474104774715,0.1949800918957391,3,0
banana_vl_4.mp4,,app,29.97,168,5.605605605605605,1,143,143,4.771438104771439,v0,0.1031970455449149,0.2362898291617277,0.2475376890512701,1,16
banana_vl_5.mp4,,app,59.94005994005994,378,6.3063,20,289,270,4.5045,v0,0.1324926500979476,0.2855653902345302,0.2898063382672579,0,1
banana_vl_6.mp4,,app,59.94005994005994,355,5.922583333333334,2,349,348,5.8058000000000005,v0,0.1252412300507994,0.2848140877787266,0.28676575101467,12,16
banheiro_ne_1.mp4,,app,12.0,46,3.8333333333333335,6,33,28,2.333333333333333,v0,0.1488224020413858,0.3399671909693001,0.2915655307698561,8,19
banheiro_sb_2.mp4,,app,29.97002997002997,85,2.8361666666666667,13,80,68,2.268933333333333,v0,0.0849456642505245,0.1967407626994012,0.211753394839434,0,0
banheiro_uf_3.mp4,,app,29.97002997002997,132,4.4044,15,91,77,2.569233333333333,v0,0.0850151208958292,0.2009321770268777,0.2210733436695715,0,0
banheiro_vl_4.mp4,,app,59.94005994005994,300,5.005,0,290,291,4.85485,v0,0.1259700649636136,0.2820749928772703,0.2938177694962842,0,4
banheiro_vl_5.mp4,,app,29.97,129,4.3043043043043046,0,127,128,4.270937604270938,v0,0.1045977488991372,0.2331447958560749,0.2567020392100123,0,31
banheiro_vl_6.mp4,,app,59.94005994005994,354,5.9059,0,306,307,5.121783333333333,v0,0.1307746982133607,0.2800959348192307,0.2881602399726521,0,8
bebê_ne_1.mp4,,app,12.0,49,4.083333333333333,8,38,31,2.583333333333333,v0,0.1556694326656475,0.35324909936158,0.3011771843955353,21,10
bebê_sb_2.mp4,,app,29.97002997002997,81,2.7027,4,70,67,2.2355666666666667,v0,0.0867769786823013,0.1994122870043335,0.211223227302097,1,0
bebê_uf_3.mp4,,app,29.97002997002997,127,4.237566666666667,18,101,84,2.8028,v0,0.0880726615317274,0.2089028638637211,0.231046044482634,0,27
bebê_vl_4.mp4,,app,29.97002997002997,207,6.9069,3,199,197,6.5732333333333335,v0,0.1031235656934426,0.2310362022733247,0.2557206822368438,19,20
bebê_vl_5.mp4,,app,59.94005994005994,357,5.9559500000000005,5,346,342,5.7057,v0,0.1316357483436947,0.2811871000098437,0.2883556629449763,28,124
bebê_vl_6.mp4,,app,59.94005994005994,331,5.522183333333333,0,321,322,5.372033333333333,v0,0.126466466693,0.2792759963285134,0.297171627325101,4,80
cabeça_ne_1.mp4,,app,12.0,61,5.083333333333333,12,48,37,3.083333333333333,v0,0.135536805011248,0.3096890491936515,0.2598790564446344,37,12
cabeça_uf_3.mp4,,app,29.97002997002997,107,3.5702333333333334,19,84,66,2.2022,v0,0.0914079366525514,0.2194168583094029,0.2380100239808823,2,0
cabeça_vl_4.mp4,,app,29.97002997002997,169,5.638966666666667,13,146,134,4.471133333333333,v0,0.1060877129761901,0.2345268166467229,0.2528841341943343,16,5
cabeça_vl_5.mp4,,app,29.97002997002997,176,5.872533333333333,0,142,143,4.771433333333333,v0,0.1291216651604773,0.2781716774394791,0.3113254627482198,18,20
cabeça_vl_6.mp4,,app,59.94005994005994,247,4.120783333333334,3,216,214,3.5702333333333334,v0,0.134382296245323,0.3043570409609296,0.3416960926450439,22,29
café_ne_1.mp4,,app,12.0,39,3.25,2,33,32,2.6666666666666665,v0,0.136358009746172,0.3142900115310922,0.2717344248361906,32,16
café_sb_2.mp4,,app,29.97002997002997,61,2.0353666666666665,1,54,54,1.8018,v0,0.0851170874633055,0.1936655823499509,0.2031627233377488,1,1
café_uf_3.mp4,,app,29.97002997002997,153,5.1051,12,123,112,3.7370666666666654,v0,0.0706983379306418,0.1615403023112707,0.1844530706189771,1,11
café_vl_4.mp4,,app,29.97002997002997,196,6.539866666666667,10,166,157,5.238566666666666,v0,0.1279715169062092,0.2574839180804241,0.2612584040242983,74,22
café_vl_5.mp4,,app,59.94005994005994,312,5.2052000000000005,0,310,311,5.188516666666667,v0,0.1347920687411845,0.3019862524921688,0.3334022341251358,45,37
café_vl_6.mp4,,app,29.97,161,5.372038705372039,5,145,141,4.704704704704705,v0,0.1065125712009109,0.2366133978422893,0.2409167542599178,7,11
